epoch,cost,train,test,epoch_time,total_time
0,3.2745821475982666,0.26816,0.2669,0.3485841751098633,0.348613977432251
10,0.7608127593994141,0.75354,0.7623,0.20283889770507812,2.6052610874176025
20,0.473416343331337,0.86574,0.8764,0.2021632194519043,4.792732000350952
30,0.3832698315382004,0.89042,0.8974,0.20271611213684082,6.9630467891693115
40,0.33737166225910187,0.90322,0.9083,0.21100902557373047,9.133744955062866
50,0.30732470750808716,0.91072,0.9158,0.2054758071899414,11.389162063598633
60,0.2850996255874634,0.9173,0.9206,0.20799517631530762,13.565072059631348
70,0.2675217241048813,0.92314,0.9248,0.204636812210083,15.754779815673828
80,0.25294774770736694,0.92708,0.927,0.21388697624206543,17.98482894897461
90,0.240531787276268,0.931,0.9308,0.2596287727355957,20.53352189064026
100,0.22978106886148453,0.93418,0.9334,0.2120370864868164,22.952945947647095
110,0.22030901163816452,0.93702,0.9353,0.1932668685913086,25.108829975128174
120,0.21186718344688416,0.93966,0.9381,0.2060999870300293,27.344995975494385
130,0.20427876710891724,0.9422,0.9397,0.27612900733947754,29.706195831298828
140,0.19739258289337158,0.94414,0.9415,0.20679903030395508,31.919288158416748
150,0.19109366834163666,0.94598,0.9425,0.19898390769958496,34.09144711494446
160,0.1852840781211853,0.94766,0.9438,0.20447587966918945,36.28483295440674
170,0.1798996850848198,0.94886,0.9454,0.20542001724243164,38.46568703651428
180,0.17488538473844528,0.95034,0.9457,0.20661497116088867,40.7274169921875
190,0.1702103465795517,0.95176,0.9468,0.20674490928649902,42.89301300048828
200,0.1658402755856514,0.95324,0.9481,0.20733118057250977,45.105199098587036
210,0.1617303192615509,0.95436,0.9492,0.2074739933013916,47.298644065856934
220,0.15785205364227295,0.95564,0.9502,0.20093393325805664,49.49017906188965
230,0.15418576449155807,0.95678,0.9509,0.20229315757751465,51.71773314476013
240,0.1507040336728096,0.95768,0.9514,0.2004380226135254,53.93461799621582
250,0.14738917350769043,0.95866,0.9518,0.21335506439208984,56.16108202934265
260,0.1442325934767723,0.9594,0.9524,0.22255396842956543,58.38577604293823
270,0.14122270792722702,0.9602,0.9529,0.2106926441192627,60.65832591056824
280,0.13834769278764725,0.96094,0.9535,0.20875096321105957,62.952605962753296
290,0.1355925127863884,0.96172,0.9539,0.20669198036193848,65.28442811965942
300,0.13295377790927887,0.9624,0.9543,0.20163488388061523,67.46489691734314
310,0.13042284548282623,0.96318,0.9546,0.20953106880187988,69.63852214813232
320,0.1279803030192852,0.964,0.9549,0.23423290252685547,71.84010219573975
330,0.1256275400519371,0.9648,0.9552,0.20866036415100098,74.1092119216919
340,0.12335938587784767,0.96522,0.9553,0.20987510681152344,76.3439040184021
350,0.12117255106568336,0.96604,0.9562,0.21311593055725098,78.56447792053223
360,0.11906398460268974,0.96678,0.9569,0.2079298496246338,80.79829001426697
370,0.11702738329768181,0.96734,0.9574,0.28888821601867676,84.31974196434021
380,0.11505608260631561,0.96796,0.958,0.4218728542327881,89.1704409122467
390,0.11314620450139046,0.9684,0.9585,0.37745213508605957,94.65661692619324
399,0.11148117110133171,0.96888,0.9589,0.4903688430786133,99.54138278961182
