epoch,cost,train,test,epoch_time,total_time
0,3.2745821475982666,0.26816,0.2669,0.3477020263671875,0.3477351665496826
10,0.7608127593994141,0.75354,0.7623,0.21434521675109863,2.7687859535217285
20,0.473416343331337,0.86574,0.8764,0.2608168125152588,5.369945287704468
30,0.3832698315382004,0.89042,0.8974,0.22730112075805664,8.102055072784424
40,0.33737166225910187,0.90322,0.9083,0.659013032913208,11.070872068405151
50,0.30732470750808716,0.91072,0.9158,0.21262001991271973,13.481605291366577
60,0.2850996255874634,0.9173,0.9206,0.20741677284240723,16.209131002426147
70,0.2675217241048813,0.92314,0.9248,0.20037508010864258,18.751981258392334
80,0.25294774770736694,0.92708,0.927,0.2348170280456543,21.108612298965454
90,0.240531787276268,0.931,0.9308,0.20036816596984863,23.283215284347534
100,0.22978106886148453,0.93418,0.9334,0.19866085052490234,25.43174409866333
110,0.22030901163816452,0.93702,0.9353,0.20352482795715332,27.586076974868774
120,0.21186718344688416,0.93966,0.9381,0.1932213306427002,29.731118202209473
130,0.20427876710891724,0.9422,0.9397,0.20649385452270508,31.897443056106567
140,0.19739258289337158,0.94414,0.9415,0.20236706733703613,34.05861711502075
150,0.19109366834163666,0.94598,0.9425,0.20282793045043945,36.23344326019287
160,0.1852840781211853,0.94766,0.9438,0.2072010040283203,38.42090606689453
170,0.1798996850848198,0.94886,0.9454,0.19984793663024902,40.667869091033936
180,0.17488538473844528,0.95034,0.9457,0.20348167419433594,42.84700918197632
190,0.1702103465795517,0.95176,0.9468,0.20373296737670898,44.9960720539093
200,0.1658402755856514,0.95324,0.9481,0.20236587524414062,47.160322189331055
210,0.1617303192615509,0.95436,0.9492,0.20429325103759766,49.35014200210571
220,0.15785205364227295,0.95564,0.9502,0.1994781494140625,51.52216124534607
230,0.15418576449155807,0.95678,0.9509,0.20167088508605957,53.71533799171448
240,0.1507040336728096,0.95768,0.9514,0.2019181251525879,55.879510164260864
250,0.14738917350769043,0.95866,0.9518,0.20129609107971191,58.030330181121826
260,0.1442325934767723,0.9594,0.9524,0.20276975631713867,60.18698716163635
270,0.14122270792722702,0.9602,0.9529,0.20403409004211426,62.34233117103577
280,0.13834769278764725,0.96094,0.9535,0.20451927185058594,64.4918782711029
290,0.1355925127863884,0.96172,0.9539,0.19357800483703613,66.64563822746277
299,0.13321225345134735,0.96232,0.9543,0.19538307189941406,68.59202790260315
