epoch,cost,train,test,epoch_time,total_time
0,3.2745819091796875,0.26816,0.2669,1.538698673248291,1.538698673248291
10,0.7608166337013245,0.75352,0.7623,0.7649662494659424,9.641174077987671
20,0.47341734170913696,0.86572,0.8765,0.6753075122833252,16.61215615272522
30,0.3832719922065735,0.89042,0.8974,0.6643691062927246,23.978022813796997
40,0.33737313747406006,0.9032,0.9083,0.659170389175415,30.922688007354736
50,0.3073250353336334,0.91072,0.9158,0.6556203365325928,37.92984223365784
60,0.2850998342037201,0.91722,0.9206,0.675339937210083,45.02118134498596
70,0.2675216495990753,0.92314,0.9248,0.6894967555999756,52.2274124622345
80,0.25294777750968933,0.92708,0.9271,0.697934627532959,59.93404150009155
90,0.2405320256948471,0.931,0.9308,0.8552372455596924,67.47331953048706
100,0.22978045046329498,0.93418,0.9334,0.7198646068572998,75.15661454200745
110,0.2203087955713272,0.93702,0.9353,0.690178632736206,82.69880628585815
120,0.21186710894107819,0.93966,0.9381,0.7225987911224365,90.2491066455841
130,0.20427873730659485,0.9422,0.9397,0.7315542697906494,97.92821002006531
140,0.19739267230033875,0.94412,0.9415,0.7230439186096191,105.73270678520203
150,0.19109366834163666,0.94598,0.9425,0.7490956783294678,113.49438428878784
160,0.18528442084789276,0.94766,0.9438,0.7317769527435303,121.22753310203552
170,0.1798998862504959,0.94886,0.9454,0.7230551242828369,129.17729568481445
180,0.17488591372966766,0.95034,0.9457,0.7410285472869873,137.01190900802612
190,0.17021125555038452,0.95174,0.9468,0.7339456081390381,144.7665412425995
199,0.16626593470573425,0.9531,0.9476,0.727653980255127,151.82300448417664
