epoch,train_cost,train_acc,test_cost,test_acc,worker_cost_mean,worker_acc_mean,epoch_time,total_time
0,3.8137366352844237,0.11004,3.8335389892578124,0.1076,3.813736641769409,0.11004,157.5536916255951,160.54191517829895
1,3.401750250854492,0.16198,3.4335971992492675,0.1573,3.401750258026123,0.16198,153.26251745224,313.92856526374817
2,3.170675371246338,0.20212,3.214714947891235,0.1987,3.1706753534698486,0.20212,154.3755121231079,468.30981969833374
3,2.837142398071289,0.2609,2.905755979156494,0.2474,2.83714238822937,0.2609,156.32606863975525,624.650074005127
4,2.7425775022888184,0.28956,2.839681526184082,0.2698,2.742577482299805,0.28956,158.48785090446472,783.153772354126
5,2.625838287811279,0.3102,2.7323612800598145,0.2893,2.6258382695007323,0.3102,159.84350085258484,943.0073683261871
6,2.373239702835083,0.36102,2.4918056678771974,0.336,2.373239706878662,0.36102,158.55496883392334,1101.577078819275
7,2.1622915798187257,0.4111,2.316242211151123,0.374,2.162291561203003,0.4111,156.999107837677,1258.5905780792236
8,2.26577131362915,0.38692,2.436040922164917,0.3549,2.2657713029479982,0.38692,156.67802453041077,1415.276365995407
9,2.072281144256592,0.4305,2.2697559127807616,0.3912,2.072281144256592,0.4305,156.9733545780182,1572.2497205734253
10,2.059930832595825,0.4316,2.2776674423217775,0.3945,2.0599308380126953,0.4316,160.40898609161377,1732.664719581604
11,1.9496101037979126,0.45792,2.1829149936676027,0.4088,1.9496101024627686,0.45792,159.32264804840088,1891.9913873672485
12,1.831046367111206,0.4845,2.1008116718292236,0.4311,1.8310463763427733,0.48452,159.08906888961792,2051.08647108078
13,1.8167002590942383,0.48286,2.106884489059448,0.4195,1.8167002618026733,0.48286,160.64274859428406,2211.733227491379
14,1.7154229855346679,0.5189,2.0305349384307863,0.4483,1.715422979736328,0.5189,159.75266456604004,2371.485892057419
15,1.6170096285247804,0.53688,1.9807231323242187,0.4555,1.6170096276855468,0.53688,158.7692346572876,2530.262885570526
16,1.7409395420837401,0.50924,2.1119257606506348,0.4367,1.7409395397567748,0.50924,157.94270515441895,2688.2133526802063
